feature,importance
temperature_c,0.54883707
range_km,0.037121743
index_refraction,0.036456373
supplier,0.03592085
length_km,0.035837602
wavelength_nm,0.03553674
resolution_m,0.035227187
num_data_points,0.035142615
fiber_type,0.034998156
user_offset_m,0.034417987
test_mode,0.034001615
num_averages,0.033283334
pulse_width_ns,0.03304839
build_condition,0.030170433
