feature,importance
splice_loss_max,0.14574854848664184
dynamic_range_db,0.11803075331745352
splice_end_ratio,0.11430945541609316
checksum_int,0.10300236018370622
temperature_c,0.09749742612702648
end_loss_db,0.07246870814996825
att_per_km,0.0621244114429592
refl_loss_min,0.060406422329326394
orl_db,0.05290436873600344
refl_abs,0.04869269731858036
total_loss_db,0.041503234991419606
attenuation_db,0.038615833168948725
noise_floor,0.019853291361727612
orl_per_km,0.007154490895965244
length_km,0.005011223816694802
range_km,0.004755436351762437
slope_avg_db_km,0.0025689698195490358
wavelength_nm,0.0013907210949112017
num_events,0.0010375049416664899
event_density,0.0009200783579628624
resolution_m,0.0003815782051003831
slope_deviation,0.0003611126714485975
index_refraction,0.0003591287852134627
num_averages,0.00016252194558035883
pulse_width_ns,0.00015079217697207896
supplier,0.00013389901024283345
num_data_points,0.00012768019398325597
fiber_type,0.00011432789431916468
user_offset_m,0.00010944354915415191
test_mode,7.106401208177706e-05
build_condition,3.251524753709909e-05
